LOAN_ID,description_all,lender,fully_funded,is_2020Q1
1913037,"Matilde is 48 years old. She is in a common law relationship and has 2 children.<br />She decided to start a business selling food wholesale independently a few months ago in the city of Medellín. <br />Today, she wants to give her business a small push with help from Kiva and Corporación Interactuar lenders. <br />For this reason she needs a loan to buy clothing, accessories, luggage and catalogue merchandise.<br />With this loan she will be able to improve sales. <br /><br />If you want to know more about the entrepreneurs and the loans from Interactuar, you can join the Lending Team called: “Friends of Interactuar Colombia”: http://www. kiva. org/team/interactuar_colombia""",1,False,True
1916675,Alaa works in the docks. His dad left him a grocery store business. He made time for the business because it is the income his family depended on and still depends on. It is a good way to keep things how they were. He wants to go further and to make things even better. He is working hard to please everyone. <br /><br />A loan will help him supply the grocery store. He is looking for a good future and this will only happen through hard work and a lot of effort. His dream is to officially register the store.,1,False,True
1938749,"Jorge, age 38, is married and has two children.  He lives in a municipality in the metropolitan area of Nuevo Leon.  He has worked for a company for ten years.<br /><br />Jorge is requesting a loan for his sister-in-law, Claudia.  The loan is for her to be able to be taken care of at a private clinic because she needs gallbladder surgery.  She urgently needs the surgery, and at this time does not have the money to pay in cash.  That is the reason that Jorge wants to help so that she is able to recover her health and continue on with her life plans.",1,False,True
1943268,"Emmanuel is single, twenty-six years of age, and resides in Koforidua, capital of the Eastern Region of Ghana. <br /><br />Emmanuel earns a living by selling vehicle spare parts and lubricants. His presence in the community is helping lots of mechanics and individuals to work on and maintain their vehicles. <br /><br />Emmanuel started the business three years ago and has built it to a very appreciable level through hard work and perseverance. He possesses good customer services and works hard not to let his clients down.<br /><br />Emmanuel is currently seeking financial support to buy stocks of the supplies.<br /><br />Emmanuel's intention is to plow back his profits into the business. He is grateful in advance to his generous Kiva supporters.",1,False,True
1917190,"Yeison is 29 years old. He is single and lives in the Medellín municipality.<br />He is a hard working person who has been developing the restaurant business for a while. <br />He is asking for a loan to buy meats, soft drinks, beer, oils and liqueur, among others.<br />This loan will bring him the opportunity to leverage his business and propel his activity significantly.  <br />If you want to know more about the entrepreneurs and the loans from Interactuar, you can join the Lending Team called: “Friends of Interactuar Colombia”: http://www. kiva. org/team/interactuar_colombia""",1,False,True
1938852,"Oscar, 46, lives in a common-law relationship and has worked for nine years as an employee in a sheeting company.<br /><br />Oscar has needed hearing aids for some time and he's no longer willing to wait more.  That's why he's requesting a loan, so he can get them soon.<br /><br />He hopes you can support him because he knows these hearing aids are going to help him continue with his daily activities at work and with his family.",1,False,True
1924333,"Ramon is 72 years old. He proved that luck is nothing more than being prepared for a good opportunity. Thanks to his effort he managed to find his way to the market and now he owns a small retail business where he sells food and drinks.<br /><br />The business guarantees the well-being of Ramon's family and better conditions of life for his son. Not everything was easy in Ramon's life. His family never had the resources to provide a proper education for him. For this reason he had to work in order to achieve his own goals. Ramon can be proud of himself now. He is a role-model in his community for his effort and dedication.<br /><br />In order to expand his production capacity Ramon is asking for a loan to buy beer, grains, dairy products, frozen meat and other.",1,False,True
1941963,"Esteban is a 40 year old father. He is married and has a beautiful family with whom he lives in a community in the subdivision Camache.<br /><br />To make his own income and support his family he buys and sells traditional clothes. He has been working for close to 8 years in this business.<br /><br />In order to continue growing his business, Esteban is applying for a loan and he will invest in in the purchase of more traditional clothes such as: blouses, belts and skirts to cover all of his customers' demands.",1,False,True
1943307,"Richard is a single 39-year-old micro-entrepreneur who is dedicated to his dietetic cookie and cake business. He lives in the town of Soledad. <br /><br />Richard prepares wholegrain cookies and cakes which he distributes to health food stores, gyms and universities. He has been engaged in this business for more than two years. <br /><br />Richard decided to study since his father taught him some things in this discipline and he wanted to improve in order to carry out this activity professionally to earn a daily living. Besides, he loves this business. That is why he wants to keep growing in order to have the place he dreams of so much.  <br /><br />Richard currently needs an injection of capital. For this reason, he is arranging his first KIVA loan with the Fundación Mario Santo Domingo. He will purchase an oven to bake cookies and ingredients such as carrots, nuts, and oatmeal.  Please support Richard in his loan.  It will be a success.",1,False,True
1946120,"Nelson is a hardworking, honest person who lives in the municipality of Espinal; he is 46 years old.  For 10 years he has been selling foods.  He started the business in an effort to support his family and get ahead.  He learned from a relative and always has his goals in mind.<br /><br />He is seeking a loan to help boost his business through the purchase of more supplies such as frozen goods, natural preserves and exotic fruits to offer a menu with more variety which will improve his sales.<br /><br /><br />If you want to know more about the entrepreneurs and the loans from Interactuar, you can join the Lending Team called: “Friends of Interactuar Colombia”: http://www.kiva.org/team/interactuar_colombia""",1,False,True
1921252,"In the photo, Moussa is the one holding the cow's horn in his hands. He is 39 years old, married and father of four children. His children are aged from 2 to just over a year old.  He has been rearing beef cows for 7 years. <br />He would like to develop this activity by taking a loan with RMCR. To buy beef cows. He buys his cows at the surrounding markets and makes his sales at the same markets. After these sales, he can have 60,000 to 85,000CFA as profit. <br />The profit will enable him to support his family in ways such as: health and education. He battles against the epidemic illnesses of these animals but he organises things to overcome this phenomenon. <br />In the future he expects to have more financing to grow his business and have more income in order to guarantee the future of his children.",1,False,True
1912171,"Pictured above is Godfrey, often described as an extremely experienced farmer. He is 36 years old and has 5 children. As a group leader, he is representing his group of 14 farmers from the Teso District, Kenya. <br /><br />Godfrey is returning this season to work with One Acre Fund since this means that he is able to have access to quality training and acquire new farming methods, which is why he decided to join in the first place. Godfrey says that he is happy to have made that decision because, since he first joined in 2016, he has been able to consistently feed his family, which has improved his day-to-day life significantly. Godfrey will use the profits from this season to send his children to school.<br /><br />The group will use this loan to purchase seeds and fertilizer to plant a total of 8.5 acres. One member of the group will also be purchasing a solar light.",1,False,True
